Week Of,City,Neighborhood,Product,SKU,Channel,Sales (Units)
2016-05-23,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,98
2016-05-16,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,71
2016-05-09,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,55
2016-05-02,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,43
2016-04-25,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2016-04-18,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2016-04-11,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2016-04-04,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2016-03-28,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2016-03-21,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2016-03-14,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2016-03-07,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2016-02-29,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2016-02-22,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2016-02-15,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2016-02-08,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2016-02-01,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2016-01-25,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2016-01-18,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2016-01-11,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2016-01-04,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2015-12-28,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2015-12-21,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2015-12-14,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2015-12-07,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2015-11-30,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2015-11-23,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2015-11-16,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2015-11-09,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2015-11-02,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2015-10-26,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2015-10-19,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2015-10-12,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2015-10-05,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2015-09-28,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2015-09-21,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2015-09-14,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,38
2015-09-07,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,45
2015-08-31,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,102
2015-08-24,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,177
2015-08-17,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,197
2015-08-10,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,204
2015-08-03,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,206
2015-07-27,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,204
2015-07-20,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,180
2015-07-13,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,169
2015-07-06,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,177
2015-06-29,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,312
2015-06-22,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,170
2015-06-15,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,151
2015-06-08,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,137
2015-06-01,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,130
2016-05-23,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,351
2016-05-16,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,326
2016-05-09,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,325
2016-05-02,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,296
2016-04-25,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,284
2016-04-18,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,279
2016-04-11,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,272
2016-04-04,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,261
2016-03-28,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,264
2016-03-21,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,262
2016-03-14,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,261
2016-03-07,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,261
2016-02-29,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,247
2016-02-22,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,224
2016-02-15,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,210
2016-02-08,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,211
2016-02-01,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,217
2016-01-25,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,216
